"QTL1","Log Like - Additive","Log Like - Dominant","Log Like - Full","Log Like - D-Additive","Log Like - D-Dominant","Log Like - D-Full"
"25",13,2655.55983299298,2670.97647681772,2709.67360786542,2719.79892339794,2735.49800106627,2749.18408763655
"26",13,2655.55983299298,2670.97647681772,2709.67360786542,2719.79892339794,2735.49800106627,2749.18408763655
"27",14,2655.55982570894,2670.97826467435,2709.67097791394,2719.79727118698,2735.48664318671,2749.17729968006
"28",14,2655.55982570894,2670.97826467435,2709.67097791394,2719.79727118698,2735.48664318671,2749.17729968006
"29",15,2655.55982376636,2670.97725665323,2709.66995056863,2719.79779196038,2735.48943292046,2749.18640491856
"30",15,2655.55982376636,2670.97725665323,2709.66995056863,2719.79779196038,2735.48943292046,2749.18640491856
"31",16,2655.55981658882,2670.96958939871,2709.66251187562,2719.79034477303,2735.47297403266,2749.16782499937
"32",16,2655.55981658882,2670.96958939871,2709.66251187562,2719.79034477303,2735.47297403266,2749.16782499937
"33",17,2655.55980431601,2670.97932969683,2709.6528636833,2719.78068188069,2735.46570024912,2749.17276340113
"34",17,2655.55980431601,2670.97932969683,2709.6528636833,2719.78068188069,2735.46570024912,2749.17276340113
"35",18,2655.55976936146,2670.97436319195,2709.66760952095,2719.7952405872,2735.47925500914,2749.18466821033
"36",18,2655.55976936146,2670.97436319195,2709.66760952095,2719.7952405872,2735.47925500914,2749.18466821033
"37",19,2655.559741321,2670.97355399501,2709.68947272201,2719.81653352347,2735.49745516243,2749.20253591899
"38",19,2655.559741321,2670.97355399501,2709.68947272201,2719.81653352347,2735.49745516243,2749.20253591899
"39",20,2655.5597022154,2670.97580401894,2709.66894885944,2719.79903670082,2735.47470428108,2749.19191609471
"40",20,2655.5597022154,2670.97580401894,2709.66894885944,2719.79903670082,2735.47470428108,2749.19191609471
"41",21,2655.55967577349,2670.97049564007,2709.66140825822,2719.79126505562,2735.46053531373,2749.17931003361
"42",21,2655.55967577349,2670.97049564007,2709.66140825822,2719.79126505562,2735.46053531373,2749.17931003361
"43",22,2655.55963539861,2670.97482245765,2709.68689381341,2719.81685907268,2735.48826309739,2749.2085201897
"44",22,2655.55963539861,2670.97482245765,2709.68689381341,2719.81685907268,2735.48826309739,2749.2085201897
"45",23,2655.55960044963,2670.97252987344,2709.69422591888,2719.82427976307,2735.49136943374,2749.21534117133
"46",23,2655.55960044963,2670.97252987344,2709.69422591888,2719.82427976307,2735.49136943374,2749.21534117133
"47",24,2655.5595769959,2670.9741416988,2709.7039551186,2719.83479571881,2735.49751626794,2749.22169295633
"48",24,2655.5595769959,2670.9741416988,2709.7039551186,2719.83479571881,2735.49751626794,2749.22169295633
"49",25,2655.55954247406,2670.97299211926,2709.71421287235,2719.84351035969,2735.50174812344,2749.23202666751
"50",25,2655.55954247406,2670.97299211926,2709.71421287235,2719.84351035969,2735.50174812344,2749.23202666751
"51",26,2655.55950441773,2670.97526169677,2709.69411837501,2719.82457860742,2735.47966641451,2749.21632234781
"52",26,2655.55950441773,2670.97526169677,2709.69411837501,2719.82457860742,2735.47966641451,2749.21632234781
"53",27,2655.55946821289,2670.97578710312,2709.72778926996,2719.85859285101,2735.50487760426,2749.23674423076
"54",27,2655.55946821289,2670.97578710312,2709.72778926996,2719.85859285101,2735.50487760426,2749.23674423076
"55",28,2655.5594392141,2670.97419405432,2709.71635304298,2719.84811210526,2735.49684387884,2749.23648410144
"56",28,2655.5594392141,2670.97419405432,2709.71635304298,2719.84811210526,2735.49684387884,2749.23648410144
"57",29,2655.55940225747,2670.97062117738,2709.72996392757,2719.86032101611,2735.50757102998,2749.24908863215
"58",29,2655.55940225747,2670.97062117738,2709.72996392757,2719.86032101611,2735.50757102998,2749.24908863215
