run_number	P-Val - Additive	P-Val - Dominant	P-Val - Full	P-Val - Main	P-Val - Add-D	P-Val - Dom-D	P-Val - Full-D	P-Val - Diet
0056	3.32470887601146	4.71920196092267	4.67452865145184	6.86182855941244	3.04997115670973	3.35023575075844	3.0963405840082	4.20777569524263
0057	3.85986823135442	6.33490551070151	4.7301321275643	7.53731292261761	3.59949946444544	3.26063332664199	3.20164994947147	5.36370421366653
0058	4.22967283775281	4.78689632705569	4.68224966040593	7.18561652530047	2.79643799651718	2.87166005014039	3.95019477029893	4.43114966975807
0059	3.76398038841196	4.98627158514585	4.99634432883663	7.02862240012231	3.48707570992702	3.45381234699454	2.99722247412677	4.88853766240471
0060	4.25351310058331	4.89659659587789	5.36497732355842	7.45604511741134	2.61868670937217	3.30860213762473	3.42791810122972	4.3231382408475
0061	4.73880261728763	5.19513648057574	4.9741127128145	7.45992471036008	2.7575023821555	3.17066432422607	3.2466364217647	3.97953640529424
0062	3.44232461898117	5.52819124095773	4.34562904905865	6.75741245758422	2.43956854752032	3.39493872786887	2.91490039338411	4.47709644848551
0065	3.47592207439797	4.81719590299318	4.48804135468405	6.73986467579036	3.08349377642893	4.10040962732577	3.63360922128835	4.94924525204617
0066	3.59174119686588	5.15523272398197	4.48314716955187	7.2731366086987	2.29115505364465	3.21948734502159	3.08426078737765	4.25667038412548
0067	4.13174540480635	4.99636574147318	5.13702621350945	7.63690167711692	2.27993504595521	3.13603205743951	3.52007037237013	4.47863337186249
0080	3.80191102525452	6.25396726997534	4.57956295686497	7.68737714427262	3.48533947646925	3.78171187190447	2.99833782978903	4.94476747559303
0081	4.54839777866488	4.75051969418788	5.27947537001601	7.89448068006789	2.87504118313791	3.69927878620547	3.469603717801	4.88070248626971
0083	3.01761790133444	4.56363999801765	3.94826199336462	6.40429545711591	2.89430155105026	3.70884464945771	3.48815330119258	4.88224155322315
